dir_rel,file_count,total_size_bytes,total_size_mb
tools/codex/worktrees/C_features/apps/keystone/components/pitch,40,57459,0.05
packages/ui-kit,5,57414,0.05
tools/repo_template/reports,12,56382,0.05
tools/codex/runs/20260301_001517_5EE0/A_core,6,56018,0.05
tools/codex/runs/20260301_010535_E0B1/A_core,6,55199,0.05
tools/codex/worktrees/Z_aggregator/packages/ui-kit,5,54045,0.05
tools/codex/worktrees/B_tooling/packages/ui-kit,5,53929,0.05
tools/codex/worktrees/D_validation/packages/ui-kit,5,53625,0.05
artifacts/keystone-pitch-engine/programs/hitech-pitch/20260304_080740_YFGZ,6,52624,0.05
tools/codex/runs/20260305_092736_F9A0/_debug,3,52472,0.05
tools/codex/worktrees/A_core/tools/scripts,12,52261,0.05
docs/system,13,51872,0.05
tools/codex/worktrees/A_core/tools/ops,5,51562,0.05
tools/codex/worktrees/B_tooling/tools/ops,5,51562,0.05
tools/codex/worktrees/C_features/tools/ops,5,51562,0.05
tools/codex/worktrees/D_validation/tools/ops,5,51562,0.05
tools/codex/worktrees/Z_aggregator/tools/ops,5,51562,0.05
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/tools/ops,5,51562,0.05
tools/ops,5,51562,0.05
tools/codex/runs/20260301_011534_EF0A/C_features/FILES/apps/keystone/components/pitch,10,51502,0.05
tools/hos/guardrails,2,50827,0.05
tools/codex/prompts/20260304_174343_8C66,9,50282,0.05
tools/codex/prompts/20260304_174343_8C66__stale_20260304_174447,9,50282,0.05
tools/codex/runs/20260305_092736_F9A0/C_features/FILES/packages/ui-kit/src/kpi/charts,6,50267,0.05
tools/codex/worktrees/C_features/tools/codex/runs/20260305_092736_F9A0/C_features/FILES/packages/ui-kit/src/kpi/charts,6,50267,0.05
tools/codex/worktrees/A_core/packages/contracts/src/domain/pitch,8,48953,0.05
tools/scripts,13,48529,0.05
apps/keystone/lib/scene-studio,14,48259,0.05
tools/codex/runs/conflicts/A_core/20260228_1/A_core,5,48214,0.05
tools/codex/worktrees/Z_aggregator/packages/contracts,4,47528,0.05
tools/codex/worktrees/D_validation/packages/contracts,4,47313,0.05
packages/contracts,4,47311,0.05
tools/codex/worktrees/B_tooling/packages/contracts,4,47307,0.05
tools/logs/keystone,30,46880,0.04
tools/codex/worktrees/D_validation/apps/keystone/tests,14,44996,0.04
tools/codex/worktrees/C_features/packages/contracts/src/domain/pitch,7,43323,0.04
tools/codex/worktrees/D_validation/packages/contracts/src/domain/pitch,7,43323,0.04
tools/codex/worktrees/Z_aggregator/packages/contracts/src/domain/pitch,7,43323,0.04
tools/codex/bridge/KEYSTONE_PITCH_2SCREENS_BRIDGE,8,42755,0.04
tools/codex/worktrees/A_core/docs,8,42124,0.04
tools/codex/worktrees/C_features/docs,8,42124,0.04
tools/codex/worktrees/D_validation/docs,8,42124,0.04
tools/codex/worktrees/Z_aggregator/docs,8,42124,0.04
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/docs,8,42124,0.04
tools/codex/worktrees/B_tooling/docs,8,42097,0.04
docs/ui-map/screens,6,41733,0.04
tools/codex/worktrees/A_core/docs/factory,28,41706,0.04
tools/codex/worktrees/B_tooling/docs/factory,28,41706,0.04
tools/codex/worktrees/C_features/docs/factory,28,41706,0.04
